model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,marka,tax(£),fuel type,engine size,mileage2,fuel type2,engine size2,reference
 1 Series,2017.0,18471,Semi-Auto,8500,Petrol,150.0,47.9,2.0,bmw,,,,,,,
 Rapid,2018.0,9791,Manual,11154,Petrol,145.0,61.4,1.0,skoda,,,,,,,
 GLC Class,2019.0,37480,Semi-Auto,4967,Diesel,145.0,40.9,2.0,merc,,,,,,,
 Passat,2006.0,3495,Manual,29000,Petrol,265.0,37.2,1.6,vw,,,,,,,
 Fabia,2019.0,12995,Semi-Auto,14140,Petrol,145.0,60.1,1.0,skoda,,,,,,,
 Focus,2015.0,10899,Manual,14929,Diesel,,,1.5,focus,,,,,,,
 Fabia,2017.0,10991,Semi-Auto,22465,Petrol,150.0,60.1,1.2,skoda,,,,,,,
 Fiesta,2019.0,13998,Manual,10305,Petrol,145.0,58.9,1.0,ford,,,,,,,
 Astra,2016.0,8495,Manual,52476,Diesel,20.0,68.9,1.6,vauxhall,,,,,,,
 C Class,2020.0,30999,Automatic,1000,Diesel,,,2.0,cclass,,,,,,,
 C Class,2019.0,27999,Automatic,4447,Petrol,,,2.0,cclass,,,,,,,
 C Class,2013.0,9298,Semi-Auto,80485,Diesel,,,2.1,cclass,,,,,,,
 Tucson,2016.0,11517,Manual,58264,Diesel,,61.7,1.7,hyundi,30.0,,,,,,
 Corsa,2016.0,8400,Manual,23170,Petrol,30.0,55.4,1.4,vauxhall,,,,,,,
 A6,2019.0,27975,Automatic,11500,Diesel,145.0,50.4,2.0,audi,,,,,,,
 A6,2017.0,18999,Automatic,47506,Diesel,30.0,61.4,2.0,audi,,,,,,,
 Tiguan,2019.0,29000,Semi-Auto,7041,Diesel,145.0,31.4,2.0,vw,,,,,,,
 Polo,2019.0,12750,Manual,17556,Petrol,145.0,52.3,1.0,vw,,,,,,,
 C Class,2019.0,26049,Semi-Auto,9693,Petrol,145.0,47.1,1.5,merc,,,,,,,
 Combo Life,2019.0,14995,Manual,7211,Diesel,145.0,53.3,1.5,vauxhall,,,,,,,
 Aygo,2016.0,6500,Manual,26193,Petrol,0.0,69.0,1.0,toyota,,,,,,,
 C Class,2017.0,35499,Automatic,10709,Petrol,,,3.0,cclass,,,,,,,
 A3,2014.0,7490,Manual,44000,Diesel,0.0,74.3,1.6,audi,,,,,,,
 Astra,2014.0,5495,Manual,48000,Petrol,125.0,51.4,1.4,vauxhall,,,,,,,
 Fabia,2015.0,6800,Manual,26300,Diesel,0.0,83.1,1.4,skoda,,,,,,,
 Mokka,2017.0,11300,Manual,12195,Diesel,145.0,68.9,1.6,vauxhall,,,,,,,
 A Class,2020.0,26590,Automatic,2563,Petrol,145.0,53.3,1.3,merc,,,,,,,
 Aygo,2018.0,8699,Manual,13278,Petrol,145.0,68.9,1.0,toyota,,,,,,,
 Focus,2015.0,14740,Manual,31685,Diesel,,,2.0,focus,,,,,,,
 Adam,2016.0,7790,Manual,14871,Petrol,125.0,53.3,1.2,vauxhall,,,,,,,
 Verso,2017.0,11498,Manual,6741,Petrol,150.0,41.5,1.6,toyota,,,,,,,
 C Class,2017.0,22720,Automatic,14161,Diesel,,,2.1,cclass,,,,,,,
 V Class,2016.0,17998,Manual,21981,Diesel,200.0,46.3,2.1,merc,,,,,,,
 Polo,2016.0,9450,Manual,15405,Petrol,20.0,60.1,1.0,vw,,,,,,,
 V Class,2020.0,52900,Semi-Auto,250,Diesel,145.0,36.2,2.0,merc,,,,,,,
 Tiguan,2019.0,29995,Semi-Auto,5281,Diesel,150.0,31.4,2.0,vw,,,,,,,
 Fiesta,2017.0,7999,Manual,14748,Petrol,125.0,54.3,1.2,ford,,,,,,,
 A3,2019.0,21691,Manual,2259,Diesel,145.0,51.4,1.6,audi,,,,,,,
 Aygo,2019.0,10000,Manual,1000,Petrol,145.0,57.7,1.0,toyota,,,,,,,
 C Class,2019.0," £26,056",Semi-Auto,"10,096",,,,,unclean cclass,,,£145,46.3,Petrol,1.5,/ad/25254275
 Focus,2018.0,16750,Manual,10561,Petrol,145.0,60.1,1.0,ford,,,,,,,
 C Class,2016.0,15798,Semi-Auto,41279,Diesel,,,2.1,cclass,,,,,,,
 Polo,2016.0,10790,Manual,16130,Petrol,20.0,60.1,1.2,vw,,,,,,,
 Polo,2016.0,9052,Manual,38000,Petrol,20.0,60.1,1.2,vw,,,,,,,
 Fabia,2019.0,13466,Manual,3010,Petrol,145.0,51.4,1.0,skoda,,,,,,,
 Focus,2018.0," £14,500",Automatic,,,,,,unclean focus,,Petrol,1,"22,587",,,/ad/25387294
 Focus,2012.0,7795,Manual,22789,Petrol,,,1.0,focus,,,,,,,
 Kuga,2019.0,17299,Manual,6379,Diesel,145.0,38.2,2.0,ford,,,,,,,
 Focus,2020.0,23500,Manual,50,Petrol,,,1.0,focus,,,,,,,
 Mokka,2016.0,9150,Manual,25597,Diesel,20.0,68.9,1.6,vauxhall,,,,,,,
 Insignia,2019.0,19250,Manual,5559,Diesel,145.0,51.4,2.0,vauxhall,,,,,,,
 Golf,2014.0,9020,Manual,50680,Diesel,20.0,68.9,2.0,vw,,,,,,,
 Aygo,2019.0,8990,Manual,1500,Petrol,145.0,56.5,1.0,toyota,,,,,,,
 C-MAX,2017.0,13498,Manual,20357,Petrol,150.0,55.4,1.0,ford,,,,,,,
 Astra,2019.0,11949,Manual,16853,Petrol,145.0,61.4,1.0,vauxhall,,,,,,,
 Corsa,2019.0,10695,Manual,9339,Petrol,145.0,43.5,1.4,vauxhall,,,,,,,
 Golf,2019.0,17298,Manual,9057,Petrol,145.0,47.1,1.5,vw,,,,,,,
 S Class,2019.0,47599,Semi-Auto,11876,Diesel,145.0,52.3,3.0,merc,,,,,,,
 Adam,2018.0,8999,Manual,6736,Petrol,140.0,53.3,1.2,vauxhall,,,,,,,
 Mondeo,2018.0,19500,Automatic,11171,Petrol,150.0,38.2,2.0,ford,,,,,,,
 4 Series,2017.0,23497,Automatic,14584,Diesel,145.0,50.4,3.0,bmw,,,,,,,
 Golf,2014.0,8599,Automatic,58914,Diesel,20.0,72.4,1.6,vw,,,,,,,
 Touareg,2017.0,25832,Automatic,23403,Diesel,145.0,42.8,3.0,vw,,,,,,,
 E Class,2019.0,34622,Semi-Auto,2566,Diesel,145.0,57.7,2.0,merc,,,,,,,
 Golf,2019.0,18995,Manual,3000,Petrol,145.0,49.6,1.5,vw,,,,,,,
 Insignia,2016.0,8395,Manual,42000,Diesel,125.0,60.1,2.0,vauxhall,,,,,,,
 C Class,2017.0,16799,Automatic,20850,Diesel,30.0,65.7,1.6,merc,,,,,,,
 Up,2017.0,8450,Manual,12778,Petrol,150.0,64.2,1.0,vw,,,,,,,
 A3,2015.0,9216,Manual,63769,Diesel,20.0,68.9,2.0,audi,,,,,,,
 Kona,2019.0,16495,Manual,4459,Petrol,,44.1,1.0,hyundi,145.0,,,,,,
 I30,2019.0,9950,Manual,9000,Petrol,,45.6,1.0,hyundi,145.0,,,,,,
 M6,2016.0,36995,Semi-Auto,19000,Petrol,555.0,27.4,4.4,bmw,,,,,,,
 A1,2016.0,9705,Manual,49347,Petrol,30.0,55.4,1.4,audi,,,,,,,
 Kuga,2019.0,19700,Manual,1616,Diesel,145.0,38.2,2.0,ford,,,,,,,
 Tiguan,2019.0,27950,Automatic,4649,Diesel,145.0,39.8,2.0,vw,,,,,,,
 Fabia,2019.0,8995,Manual,7927,Petrol,145.0,50.4,1.0,skoda,,,,,,,
 A1,2014.0,10995,Manual,36000,Petrol,125.0,52.3,1.4,audi,,,,,,,
 Kamiq,2019.0,19950,Manual,1234,Petrol,145.0,47.9,1.0,skoda,,,,,,,
 Passat,2016.0,15990,Automatic,32555,Diesel,30.0,61.4,2.0,vw,,,,,,,
 Focus,2019.0," £17,991",Manual,"6,682",,,,,unclean focus,,,£145,48.7,Petrol,1,/ad/25321342
 A4,2005.0,4990,Manual,87990,Diesel,325.0,36.7,3.0,audi,,,,,,,
 Q7,2019.0,49490,Automatic,12390,Diesel,145.0,33.2,3.0,audi,,,,,,,
 Focus,2019.0,21570,Automatic,6348,Diesel,,,2.0,focus,,,,,,,
 Focus,2019.0,17000,Manual,6337,Petrol,,,1.0,focus,,,,,,,
 1 Series,2016.0,11900,Manual,26093,Petrol,125.0,53.3,1.5,bmw,,,,,,,
 C Class,2019.0,20449,Semi-Auto,13865,Diesel,145.0,61.4,2.0,merc,,,,,,,
 3 Series,2015.0,16299,Manual,24331,Petrol,200.0,41.5,2.0,bmw,,,,,,,
 E Class,2016.0,19552,Semi-Auto,14815,Diesel,125.0,61.4,2.1,merc,,,,,,,
 4 Series,2016.0,15650,Manual,34236,Petrol,160.0,46.3,2.0,bmw,,,,,,,
 Yaris,2015.0,9695,Automatic,44415,Hybrid,0.0,78.0,1.5,toyota,,,,,,,
 6 Series,2019.0,39999,Semi-Auto,1125,Petrol,145.0,34.5,3.0,bmw,,,,,,,
 Golf,2019.0,27695,Semi-Auto,6100,Petrol,145.0,32.8,2.0,vw,,,,,,,
 Citigo,2017.0,6991,Automatic,17000,Petrol,0.0,65.7,1.0,skoda,,,,,,,
 A Class,2019.0,20741,Semi-Auto,11112,Petrol,145.0,53.3,1.3,merc,,,,,,,
 Puma,2020.0,20999,Manual,2000,Petrol,150.0,51.4,1.0,ford,,,,,,,
 Zafira,2017.0,9970,Manual,32787,Petrol,200.0,41.5,1.4,vauxhall,,,,,,,
 Yeti Outdoor,2016.0,10995,Manual,25351,Petrol,125.0,51.4,1.2,skoda,,,,,,,
 Focus,2019.0," £16,850",Manual,,,,,,unclean focus,,Petrol,1,"13,452",,,/ad/25149532
 RS4,2018.0,50888,Automatic,12500,Petrol,145.0,32.1,2.9,audi,,,,,,,
 RAV4,2016.0,15495,Automatic,43000,Petrol,205.0,43.5,2.0,toyota,,,,,,,
 Sharan,2017.0,16500,Automatic,37074,Diesel,145.0,54.3,2.0,vw,,,,,,,
 I800,2018.0,16459,Manual,33610,Diesel,,31.7,2.5,hyundi,145.0,,,,,,
 C Class,2019.0,27099,Semi-Auto,1059,Petrol,,,1.5,cclass,,,,,,,
 Focus,2011.0,5495,Manual,77000,Petrol,145.0,47.9,1.6,ford,,,,,,,
 X3,2019.0,31826,Automatic,6314,Diesel,145.0,54.3,2.0,bmw,,,,,,,
 C Class,2018.0,24499,Semi-Auto,9304,Diesel,145.0,60.1,1.6,merc,,,,,,,
 Fiesta,2018.0,10390,Manual,5402,Petrol,150.0,64.2,1.1,ford,,,,,,,
 C Class,2004.0," £1,495",Manual,"119,000",,,,,unclean cclass,,31,£300,34.5,Petrol,1.8,/ad/25398278
 Focus,2019.0," £15,995",Manual,"10,279",,,,,unclean focus,,,£145,58.9,Petrol,1,/ad/25269642
 5 Series,2019.0,38995,Automatic,6500,Hybrid,135.0,156.9,2.0,bmw,,,,,,,
 Golf,2019.0,21950,Semi-Auto,7607,Diesel,145.0,49.6,2.0,vw,,,,,,,
 A Class,2018.0,18299,Automatic,10944,Petrol,145.0,28.5,1.3,merc,,,,,,,
 Golf,2016.0,11499,Manual,42641,Diesel,20.0,65.7,2.0,vw,,,,,,,
 GLC Class,2017.0,24699,Semi-Auto,28982,Diesel,125.0,56.5,2.1,merc,,,,,,,
 A3,2016.0,16950,Manual,67000,Diesel,0.0,74.3,1.6,audi,,,,,,,
 C Class,2017.0,22162,Semi-Auto,48142,Diesel,,,2.1,cclass,,,,,,,
 1 Series,2016.0,13908,Semi-Auto,13708,Diesel,20.0,68.9,1.5,bmw,,,,,,,
 Fiesta,2016.0,7900,Manual,40284,Petrol,125.0,54.3,1.2,ford,,,,,,,
 Superb,2019.0,21390,Manual,14341,Petrol,150.0,42.2,1.5,skoda,,,,,,,
 C Class,2016.0,18995,Semi-Auto,38305,Diesel,30.0,64.2,2.1,merc,,,,,,,
 Golf,2017.0,20991,Manual,38604,Petrol,265.0,35.8,2.0,vw,,,,,,,
 Polo,2019.0,11980,Manual,11258,Petrol,145.0,48.7,1.0,vw,,,,,,,
 I20,2019.0,9890,Manual,14925,Petrol,,46.3,1.2,hyundi,145.0,,,,,,
 C Class,2017.0,21500,Semi-Auto,9238,Petrol,,,2.0,cclass,,,,,,,
 Focus,2016.0,14498,Manual,32263,Petrol,200.0,41.5,2.0,ford,,,,,,,
 1 Series,2016.0,9895,Manual,61800,Diesel,20.0,72.4,1.5,bmw,,,,,,,
 Focus,2019.0,18745,Manual,7855,Diesel,,,2.0,focus,,,,,,,
 I10,2009.0,4495,Automatic,59000,Petrol,,47.9,1.2,hyundi,140.0,,,,,,
 Focus,2019.0," £16,700",Manual,,,,,,unclean focus,,Petrol,1,"7,590",,,/ad/25444898
 A1,2017.0,11771,Manual,46096,Petrol,145.0,67.3,1.0,audi,,,,,,,
 Focus,2019.0," £19,665",Manual,,,,,,unclean focus,,Diesel,2,"8,864",,,/ad/25462183
 GLE Class,2017.0,28498,Semi-Auto,26416,Diesel,205.0,47.9,2.1,merc,,,,,,,
 Focus,2017.0,11995,Manual,13711,Petrol,,,1.0,focus,,,,,,,
 C Class,2017.0,17600,Automatic,21841,Diesel,,,2.1,cclass,,,,,,,
 C Class,2015.0,17500,Automatic,39343,Diesel,30.0,64.2,2.1,merc,,,,,,,
 E Class,2016.0,17650,Semi-Auto,51492,Diesel,20.0,72.4,2.0,merc,,,,,,,
 Focus,2019.0,26995,Manual,3500,Diesel,145.0,50.4,2.0,ford,,,,,,,
 EcoSport,2017.0,10498,Manual,36562,Petrol,125.0,52.3,1.0,ford,,,,,,,
 T-Roc,2020.0,32995,Semi-Auto,2000,Petrol,150.0,32.5,2.0,vw,,,,,,,
 A6,2019.0,30888,Automatic,9350,Diesel,145.0,47.9,2.0,audi,,,,,,,
 C Class,2017.0,19680,Semi-Auto,16852,Diesel,30.0,64.2,2.1,merc,,,,,,,
 B-MAX,2016.0,8100,Manual,6768,Petrol,145.0,47.1,1.4,ford,,,,,,,
 Galaxy,2016.0,20500,Manual,145,Diesel,125.0,56.5,2.0,ford,,,,,,,
 Focus,2017.0," £11,999",Manual,"11,741",,,,,unclean focus,,,£145,60.1,Petrol,1,/ad/25208579
 A6,2017.0,27990,Automatic,22631,Diesel,145.0,50.4,3.0,audi,,,,,,,
 Grandland X,2018.0,17195,Manual,16984,Petrol,145.0,44.1,1.2,vauxhall,,,,,,,
 C Class,2017.0,22440,Semi-Auto,32629,Diesel,,,2.1,cclass,,,,,,,
 S Class,2019.0,86699,Automatic,1314,Petrol,145.0,34.0,4.0,merc,,,,,,,
 Focus,2019.0,17480,Manual,3284,Petrol,145.0,60.1,1.0,ford,,,,,,,
 Q3,2018.0,27400,Semi-Auto,13768,Petrol,145.0,40.4,2.0,audi,,,,,,,
 E Class,2017.0,21999,Semi-Auto,11630,Diesel,145.0,72.4,2.0,merc,,,,,,,
 Focus,2015.0,9000,Manual,56369,Diesel,,,1.5,focus,,,,,,,
 4 Series,2019.0,31898,Semi-Auto,4125,Diesel,145.0,50.4,3.0,bmw,,,,,,,
 Q3,2015.0,12990,Manual,69072,Diesel,125.0,60.1,2.0,audi,,,,,,,
 Focus,2019.0," £16,298",Automatic,"12,029",,,,,unclean focus,,,£145,41.5,Petrol,1,/ad/25173836
 C Class,2018.0,22480,Semi-Auto,10339,Diesel,145.0,58.9,2.1,merc,,,,,,,
 Viva,2015.0,6495,Manual,25649,Petrol,20.0,62.8,1.0,vauxhall,,,,,,,
 GLC Class,2019.0,31695,Semi-Auto,4270,Diesel,145.0,41.5,2.1,merc,,,,,,,
 Mustang,2020.0,48000,Manual,50,Petrol,145.0,23.9,5.0,ford,,,,,,,
 A Class,2015.0,12790,Semi-Auto,28445,Diesel,20.0,68.9,1.5,merc,,,,,,,
 A3,2012.0,6450,Manual,73994,Diesel,30.0,65.7,1.6,audi,,,,,,,
 I20,2016.0,8979,Manual,16923,Petrol,,62.8,1.0,hyundi,20.0,,,,,,
 T-Roc,2019.0,19995,Manual,2980,Diesel,150.0,50.4,1.6,vw,,,,,,,
 X5,2016.0,27799,Automatic,31903,Hybrid,0.0,85.6,2.0,bmw,,,,,,,
 Fiesta,2016.0,10400,Manual,26677,Diesel,0.0,78.5,1.5,ford,,,,,,,
 I10,2019.0,9990,Manual,2938,Petrol,,49.6,1.0,hyundi,145.0,,,,,,
 C Class,2014.0,16999,Semi-Auto,33593,Diesel,30.0,64.2,2.1,merc,,,,,,,
 Q5,2016.0,20000,Semi-Auto,31065,Diesel,200.0,47.1,2.0,audi,,,,,,,
 I10,2018.0,6485,Manual,24532,Petrol,,60.1,1.0,hyundi,150.0,,,,,,
 Fiesta,2017.0,11000,Manual,6907,Petrol,145.0,65.7,1.0,ford,,,,,,,
 C Class,2017.0,22532,Semi-Auto,20150,Petrol,,,2.0,cclass,,,,,,,
 Insignia,2019.0,15698,Manual,19484,Diesel,145.0,49.6,2.0,vauxhall,,,,,,,
 C Class,2017.0,17280,Semi-Auto,42294,Diesel,,,2.1,cclass,,,,,,,
 Fabia,2017.0,9290,Manual,20000,Petrol,20.0,58.8,1.2,skoda,,,,,,,
 Ka+,2017.0,7995,Manual,17697,Petrol,30.0,57.7,1.2,ford,,,,,,,
 Kuga,2019.0,20495,Manual,50,Diesel,145.0,38.2,2.0,ford,,,,,,,
 Sharan,2019.0,23500,Semi-Auto,12307,Diesel,145.0,41.5,2.0,vw,,,,,,,
 Kuga,2017.0,16000,Manual,27451,Diesel,145.0,60.1,2.0,ford,,,,,,,
 Golf,2016.0,19998,Manual,21993,Petrol,200.0,39.8,2.0,vw,,,,,,,
 X1,2020.0,26750,Automatic,1000,Diesel,145.0,47.9,2.0,bmw,,,,,,,
 Focus,2019.0,16998,Manual,15888,Petrol,,,1.0,focus,,,,,,,
 E Class,2020.0,39895,Semi-Auto,101,Petrol,145.0,33.7,2.0,merc,,,,,,,
 I40,2019.0,15495,Manual,12000,Diesel,,54.3,1.6,hyundi,145.0,,,,,,
 EcoSport,2018.0,11899,Manual,12667,Diesel,145.0,68.9,1.5,ford,,,,,,,
 Focus,2015.0,8498,Manual,22811,Petrol,20.0,60.1,1.0,ford,,,,,,,
 C Class,2019.0,24498,Semi-Auto,15838,Diesel,,,2.0,cclass,,,,,,,
 Focus,2019.0," £17,999",Automatic,"3,016",,,,,unclean focus,,,£145,64.2,Diesel,2,/ad/24913425
 A Class,2019.0,24711,Semi-Auto,3653,Petrol,150.0,53.3,1.3,merc,,,,,,,
 Fiesta,2017.0,10250,Automatic,39000,Petrol,0.0,57.7,1.0,ford,,,,,,,
 C Class,2019.0,25980,Semi-Auto,13012,Petrol,145.0,46.3,1.5,merc,,,,,,,
 Aygo,2017.0,7999,Manual,8800,Petrol,145.0,68.9,1.0,toyota,,,,,,,
 Tiguan,2016.0,22995,Semi-Auto,30954,Petrol,235.0,38.2,2.0,vw,,,,,,,
 I20,2017.0,8891,Manual,20259,Petrol,,62.8,1.0,hyundi,20.0,,,,,,
 A3,2015.0,9995,Manual,29565,Petrol,125.0,53.3,1.4,audi,,,,,,,
 3 Series,2016.0,20000,Automatic,39510,Petrol,205.0,41.5,3.0,bmw,,,,,,,
 Octavia,2019.0,15000,Automatic,14300,Petrol,150.0,57.7,1.0,skoda,,,,,,,
 5 Series,2019.0,30991,Semi-Auto,2435,Hybrid,135.0,156.9,2.0,bmw,,,,,,,
 Polo,2015.0,8698,Manual,24208,Petrol,20.0,60.1,1.2,vw,,,,,,,
 Galaxy,2016.0,17500,Automatic,23647,Diesel,145.0,52.3,2.0,ford,,,,,,,
 Octavia,2019.0,13499,Manual,14382,Diesel,145.0,68.9,1.6,skoda,,,,,,,
 C Class,2015.0,18299,Automatic,31369,Diesel,,,2.1,cclass,,,,,,,
 Ka+,2017.0,7999,Manual,14467,Petrol,30.0,57.7,1.2,ford,,,,,,,
 I10,2018.0,7159,Manual,32573,Petrol,,57.7,1.2,hyundi,150.0,,,,,,
 2 Series,2019.0,23806,Semi-Auto,8257,Petrol,145.0,47.9,2.0,bmw,,,,,,,
 3 Series,2016.0,14999,Manual,26307,Petrol,145.0,47.9,2.0,bmw,,,,,,,
 B-MAX,2016.0,8650,Manual,11871,Diesel,0.0,74.4,1.5,ford,,,,,,,
 Yaris,2018.0,11995,Manual,10993,Petrol,145.0,56.5,1.5,toyota,,,,,,,
 Polo,2017.0,10295,Manual,32351,Petrol,20.0,60.1,1.2,vw,,,,,,,
 A5,2019.0,27298,Semi-Auto,22,Petrol,145.0,40.4,2.0,audi,,,,,,,
 3 Series,2019.0,34989,Semi-Auto,6000,Diesel,145.0,49.6,2.0,bmw,,,,,,,
 Kuga,2015.0,13590,Automatic,19673,Diesel,150.0,52.3,2.0,ford,,,,,,,
 E Class,2019.0,24510,Automatic,14885,Diesel,145.0,72.4,2.0,merc,,,,,,,
 Focus,2019.0," £17,150",Automatic,,,,,,unclean focus,,Petrol,1,"10,472",,,/ad/25444785
 Astra,2017.0,10890,Automatic,2605,Petrol,125.0,51.4,1.4,vauxhall,,,,,,,
 2 Series,2019.0,24352,Semi-Auto,6052,Petrol,150.0,47.9,2.0,bmw,,,,,,,
 Astra,2017.0,9995,Manual,8500,Petrol,145.0,51.4,1.4,vauxhall,,,,,,,
 C-HR,2018.0,21995,Automatic,24771,Hybrid,135.0,74.3,1.8,toyota,,,,,,,
 Corsa,2016.0,5837,Manual,23240,Petrol,125.0,53.3,1.2,vauxhall,,,,,,,
 A3,2019.0,25500,Manual,5000,Diesel,145.0,51.4,1.6,audi,,,,,,,
 Kuga,2017.0,16500,Manual,18600,Diesel,145.0,54.3,2.0,ford,,,,,,,
 2 Series,2019.0,21491,Automatic,10000,Petrol,145.0,47.9,2.0,bmw,,,,,,,
 T-Roc,2019.0,19798,Manual,10535,Petrol,145.0,42.2,1.5,vw,,,,,,,
 Fiesta,2017.0,9980,Manual,5965,Petrol,150.0,65.7,1.0,ford,,,,,,,
 7 Series,2019.0,55156,Automatic,4330,Diesel,145.0,41.5,3.0,bmw,,,,,,,
 Viva,2018.0,8200,Manual,4421,Petrol,145.0,60.1,1.0,vauxhall,,,,,,,
 A Class,2015.0,11490,Manual,26000,Diesel,20.0,70.6,1.5,merc,,,,,,,
 Golf,2020.0,21990,Semi-Auto,3219,Diesel,145.0,53.3,2.0,vw,,,,,,,
 C Class,2019.0,31609,Semi-Auto,1000,Diesel,,,2.0,cclass,,,,,,,
 Verso,2017.0,11498,Manual,31756,Diesel,145.0,62.8,1.6,toyota,,,,,,,
 Focus,2015.0," £10,500",Manual,"52,571",,,,,unclean focus,,22,£20,70.6,Diesel,1997,/ad/25430941
 C Class,2019.0," £25,499",Semi-Auto,"15,175",,,,,unclean cclass,,,£145,61.4,Diesel,2,/ad/25374001
 I10,2019.0,9491,Manual,250,Petrol,,49.6,1.0,hyundi,145.0,,,,,,
 A Class,2015.0,11195,Manual,42830,Diesel,20.0,72.4,1.5,merc,,,,,,,
 A Class,2016.0,13742,Manual,30313,Diesel,20.0,72.4,1.5,merc,,,,,,,
 Tiguan,2016.0,17500,Manual,15271,Diesel,160.0,50.4,2.0,vw,,,,,,,
 I10,2017.0,6498,Manual,23692,Petrol,,60.1,1.0,hyundi,20.0,,,,,,
 Ioniq,2019.0,19981,Automatic,9950,Hybrid,,78.5,1.6,hyundi,135.0,,,,,,
 A4,2019.0,25995,Manual,7422,Petrol,145.0,39.2,2.0,audi,,,,,,,
 1 Series,2017.0,14950,Manual,13971,Diesel,150.0,68.9,2.0,bmw,,,,,,,
 Focus,2017.0,10882,Manual,12094,Petrol,145.0,61.4,1.0,ford,,,,,,,
 Edge,2019.0,23995,Automatic,3000,Diesel,145.0,40.4,2.0,ford,,,,,,,
 C Class,2012.0," £9,099",Automatic,"54,275",,,,,unclean cclass,,34,£145,56.5,Diesel,2.1,/ad/25024237
 Corsa,2019.0,9800,Manual,1835,Petrol,145.0,44.8,1.4,vauxhall,,,,,,,
 Octavia,2016.0,11295,Semi-Auto,35000,Petrol,30.0,58.9,1.4,skoda,,,,,,,
 Kuga,2017.0,14000,Automatic,49550,Diesel,150.0,54.3,2.0,ford,,,,,,,
 Focus,2019.0,18990,Automatic,6393,Diesel,,,2.0,focus,,,,,,,
 Kuga,2017.0,15500,Manual,21394,Diesel,145.0,60.1,2.0,ford,,,,,,,
 C-MAX,2017.0,10995,Manual,36185,Diesel,145.0,68.9,1.5,ford,,,,,,,
 Polo,2017.0,10450,Manual,27208,Petrol,20.0,60.1,1.2,vw,,,,,,,
 3 Series,2016.0,20550,Automatic,26047,Petrol,200.0,41.5,3.0,bmw,,,,,,,
 Astra,2019.0,14799,Manual,2473,Diesel,145.0,58.9,1.6,vauxhall,,,,,,,
 Touran,2015.0,9895,Semi-Auto,52500,Diesel,30.0,61.4,1.6,vw,,,,,,,
 C Class,2019.0,31149,Semi-Auto,6750,Diesel,145.0,54.3,2.0,merc,,,,,,,
 Focus,2017.0,12698,Manual,9484,Diesel,0.0,74.3,1.5,ford,,,,,,,
 Puma,2020.0,21999,Manual,2500,Petrol,150.0,50.4,1.0,ford,,,,,,,
 4 Series,2018.0,20500,Semi-Auto,6668,Diesel,145.0,65.7,2.0,bmw,,,,,,,
 C Class,2015.0," £11,500",Manual,"42,918",,,,,unclean cclass,,29,£125,53.3,Petrol,2,/ad/25270567
 X1,2019.0,24950,Automatic,9564,Diesel,145.0,60.1,2.0,bmw,,,,,,,
 A Class,2019.0,20776,Semi-Auto,6722,Diesel,145.0,65.7,1.5,merc,,,,,,,
 A3,2019.0,22752,Automatic,6109,Petrol,145.0,41.5,1.5,audi,,,,,,,
 C-MAX,2019.0,14300,Semi-Auto,8348,Diesel,145.0,56.5,1.5,ford,,,,,,,
 Superb,2016.0,14920,Manual,25639,Diesel,20.0,67.3,2.0,skoda,,,,,,,
 Mokka X,2019.0,13495,Manual,21334,Petrol,145.0,39.2,1.4,vauxhall,,,,,,,
 Focus,2012.0,9799,Manual,54750,Petrol,235.0,39.2,2.0,ford,,,,,,,
 I10,2017.0,7290,Manual,19178,Petrol,,57.7,1.2,hyundi,150.0,,,,,,
 1 Series,2014.0,9799,Manual,46000,Petrol,145.0,50.4,1.6,bmw,,,,,,,
 Yaris,2018.0,10698,Manual,7960,Petrol,145.0,58.9,1.5,toyota,,,,,,,
 Mokka X,2017.0,11000,Automatic,35717,Petrol,150.0,43.5,1.4,vauxhall,,,,,,,
 Golf,2015.0,12995,Manual,71767,Diesel,20.0,67.3,2.0,vw,,,,,,,
 3 Series,2016.0,16600,Automatic,23114,Diesel,145.0,53.3,3.0,bmw,,,,,,,
 Q3,2019.0,24970,Manual,4515,Petrol,145.0,40.9,1.5,audi,,,,,,,
 Corsa,2018.0,8495,Manual,13290,Petrol,145.0,54.3,1.4,vauxhall,,,,,,,
 Yaris,2017.0,12795,Automatic,24683,Hybrid,135.0,76.3,1.5,toyota,,,,,,,
 Golf,2016.0,11450,Manual,24557,Diesel,0.0,74.3,1.6,vw,,,,,,,
 Golf,2017.0,15180,Semi-Auto,31244,Petrol,145.0,55.4,1.4,vw,,,,,,,
 Fiesta,2017.0,12245,Manual,18534,Petrol,145.0,47.9,1.6,ford,,,,,,,
 Focus,2017.0,11200,Manual,11133,Diesel,,,1.5,focus,,,,,,,
 X5,2017.0,37498,Automatic,24498,Petrol,145.0,29.1,4.4,bmw,,,,,,,
 M4,2017.0,29991,Semi-Auto,60584,Petrol,150.0,34.0,3.0,bmw,,,,,,,
 Astra,2014.0,4791,Manual,72701,Petrol,125.0,51.4,1.4,vauxhall,,,,,,,
 Corsa,2017.0,7409,Manual,14510,Petrol,30.0,55.4,1.4,vauxhall,,,,,,,
 C Class,2017.0,21481,Semi-Auto,39769,Diesel,150.0,58.9,2.1,merc,,,,,,,
 Mokka,2016.0,9695,Manual,23466,Petrol,160.0,44.8,1.4,vauxhall,,,,,,,
